Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2009-10-08,77.75,80.0,77.1,78.75,78.45,19832.0,15.55
2009-10-09,77.1,79.1,77.1,78.0,78.0,6998.0,5.51
2009-10-12,77.25,79.3,77.25,78.25,78.4,6084.0,4.77
2009-10-14,77.6,82.35,77.6,82.35,82.35,23901.0,19.41
2009-10-15,84.15,86.5,84.1,86.5,86.5,40131.0,34.51
2009-10-16,87.0,90.85,87.0,88.5,89.1,68162.0,61.56
2009-10-17,92.5,92.95,90.0,92.45,91.95,10072.0,9.25
2009-10-20,95.0,96.5,92.0,95.0,94.65,53314.0,50.5
2009-10-21,95.0,95.95,90.0,90.5,90.25,16455.0,15.26
2009-10-22,88.5,89.3,85.75,86.4,85.9,13053.0,11.42
2009-10-23,83.8,90.2,81.65,90.2,90.05,31772.0,27.79
2009-10-26,89.95,91.45,85.6,85.6,86.25,14008.0,12.33
2009-10-27,89.1,89.1,81.95,81.95,82.1,13977.0,11.64
2009-10-28,85.5,85.5,79.0,82.0,82.4,18497.0,15.07
2009-10-29,80.1,83.45,80.0,82.5,81.35,7340.0,5.93
2009-10-30,82.75,85.4,80.35,82.25,81.15,3696.0,3.08
2009-11-03,79.15,81.5,77.1,77.1,77.1,8543.0,6.66
2009-11-04,77.75,79.5,75.25,76.75,78.55,6368.0,4.94
2009-11-05,77.1,82.5,76.05,82.45,82.25,11022.0,8.92
2009-11-06,84.8,85.25,81.25,83.3,82.6,3437.0,2.89
2009-11-09,83.6,83.9,74.5,80.55,81.55,9276.0,7.48
2009-11-10,83.25,84.7,82.1,82.2,82.25,16493.0,13.7
2009-11-11,81.55,83.7,81.55,82.0,82.3,5660.0,4.68
2009-11-12,83.95,84.0,81.2,82.3,82.45,4598.0,3.8
2009-11-13,83.45,90.7,81.5,90.7,90.7,16344.0,14.59
2009-11-16,98.95,99.8,98.0,99.8,99.8,30027.0,29.94
2009-11-17,108.4,109.8,101.55,104.5,103.7,231638.0,244.0
2009-11-18,105.0,108.9,104.0,108.9,108.9,107107.0,114.46
2009-11-19,114.35,114.35,105.1,114.35,114.05,532485.0,604.47
2009-11-20,112.75,114.9,108.35,111.05,110.05,91050.0,100.88
2009-11-23,113.0,113.0,106.4,109.15,109.2,42991.0,47.2
2009-11-24,108.3,112.0,105.5,109.0,109.05,68484.0,74.24
2009-11-25,110.0,112.0,103.6,104.5,104.05,54412.0,57.53
2009-11-26,103.0,108.0,102.1,107.0,106.95,85678.0,91.42
2009-11-27,103.25,106.0,101.6,103.0,104.45,25429.0,26.03
2009-11-30,105.0,105.25,99.3,101.9,101.0,21743.0,22.13
2009-12-01,102.1,104.1,99.1,103.5,103.4,14956.0,15.43
2009-12-02,105.0,105.0,102.0,102.7,102.85,14101.0,14.52
2009-12-03,99.5,108.0,99.5,108.0,108.0,73584.0,78.84
2009-12-04,108.0,113.4,107.55,110.1,109.45,77992.0,87.21
2009-12-07,112.8,113.0,108.1,108.5,108.35,23275.0,25.79
2009-12-08,106.0,113.8,106.0,113.8,113.8,24837.0,28.03
2009-12-09,119.5,119.5,115.5,119.5,119.5,29959.0,35.43
2009-12-10,125.5,125.5,116.05,121.0,119.85,107225.0,131.56
2009-12-11,122.95,122.95,113.9,116.8,115.75,20776.0,24.53
2009-12-14,116.0,118.5,114.0,116.0,115.8,28761.0,33.45
2009-12-15,117.0,117.0,110.1,111.0,112.45,9006.0,10.32
