Code,Name
NSE/CADILAHC,Cadila Healthcare Limited
NSE/BALKRISHNA,Balkrishna Paper Mills Limited
NSE/DUCON,Ducon Infratechnologies Limited
NSE/SRHHLINDST,SRHHL Industries Limited
NSE/SYNGENE,Syngene International Limited
NSE/ENIL,Entertainment Network (India) Limited
NSE/INFRATEL,Bharti Infratel Limited
NSE/JHS,JHS Svendgaard Laboratories Limited
NSE/PAGEIND,Page Industries Limited
NSE/PROZONECSC,Prozone Capital Shopping Centres Limited
NSE/ELNET,Elnet Technologies Limited
NSE/DHANUS,Dhanus Technologies Limited
NSE/AXIS_ITT,Axis-IT&T Limited
NSE/INFIBEAM,Infibeam Incorporation Limited
NSE/THERMAX,Thermax Limited
NSE/CNXMEDIA,National Stock Exchange of India Stock Index - CNX MEDIA
NSE/HITACHIHOM,Hitachi Home and Life Solutions (India) Limited
NSE/MAXINDIA,Max India Limited
NSE/SETFGOLD,SBI-ETF Gold
NSE/BANG,Bang Overseas Limited
NSE/EMMBI,Emmbi Industries Limited
NSE/GALLISPAT,Gallantt Ispat Limited
NSE/HIKAL,Hikal Limited
NSE/INTELLECT,Intellect Design Arena Limited
NSE/LOVABLE,Lovable Lingerie Limited
NSE/MUNJALAU,Munjal Auto Industries Limited
NSE/PANORAMUNI,Panoramic Universal Limited
NSE/AIL,Alstom India Limited
NSE/CNX_200,National Stock Exchange of India (NSE) Stock Index - CNX 200
NSE/CNX_NIFTY_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX Nifty Shariah
NSE/NIFTY_PSE,National Stock Exchange of India (NSE) Stock Index - Nifty PSE
NSE/ATLANTA,Atlanta Limited
NSE/COSMOFILMS,Cosmo Films Limited
NSE/LINCPEN,Linc Pen & Plastics Limited
NSE/NBVENTURES,Nava Bharat Ventures Limited
NSE/NITINSPIN,Nitin Spinners Limited
NSE/PSUBNKBEES,Goldman Sachs PSU Bank Exchange Traded Scheme
NSE/KOUTONS,Koutons Retail India Limited
NSE/PRETAILDVR,Pantaloon Retail (India) Limited
NSE/WYETH,Wyeth Limited
NSE/TCPLTD,TCP Limited
NSE/BYKE,The Byke Hospitality Ltd
NSE/FIEMIND,Fiem Industries Limited
NSE/KARURVYSYA,Karur Vysya Bank Limited
NSE/NAVKARCORP,Navkar Corporation Limited
NSE/KARURKCP,Karur K.C.P. Packkagings Limited
NSE/CELESTIAL,Celestial Biolabs Limited
NSE/EQUITAS,Equitas Holdings Limited
NSE/GINNIFILA,Ginni Filaments Limited
NSE/IVC,IL&FS Investment Managers Limited
NSE/LITL,Lanco Infratech Limited
NSE/MANAKSIA,Manaksia Limited
NSE/PHILIPCARB,Phillips Carbon Black Limited
NSE/DECOLIGHT,Decolight Ceramics Limited
NSE/AGARIND,Agarwal Industrial Corporation Limited
NSE/APOLSINHOT,Apollo Sindoori Hotels Limited
NSE/CAMLINFINE,Camlin Fine Sciences Limited
NSE/BUTTERFLY,Butterfly Gandhimathi Appliances Limited
NSE/BVCL,Barak Valley Cements Limited
NSE/CARERATING,Credit Analysis And Research Limited
NSE/FCEL,Future Consumer Enterprise Limited
NSE/KSK,KSK Energy Ventures Limited
NSE/LAOPALA,La Opala RG Limited
NSE/NRBBEARING,NRB Bearing Limited
NSE/OUDHSUG,The Oudh Sugar Mills Limited
NSE/PAEL,PAE Limited
NSE/PHOENIXLL,Phoenix Lamps Limited
NSE/PRECOT,Precot Meridian Limited
NSE/RAMASTEEL,Rama Steel Tubes Limited
NSE/REFEX,Refex Industries Limited
NSE/SASKEN,Sasken Communication Technologies Limited
NSE/SGL,STL Global Limited
NSE/SHRIRAMEPC,Shriram EPC Limited
NSE/SURANAIND,Surana Industries Limited
NSE/SUZLON,Suzlon Energy Limited
NSE/SUVEN,Suven Life Sciences Limited
NSE/TALBROAUTO,Talbros Automotive Components Limited
NSE/SURYAROSNI,Surya Roshni Limited
NSE/SWELECTES,Swelect Energy Systems Limited
NSE/TATAGLOBAL,Tata Global Beverages Limited
NSE/TALWALKARS,Talwalkars Better Value Fitness Limited
NSE/TATAMETALI,Tata Metaliks Limited
NSE/TEAMLEASE,Teamlease Services Limited
NSE/TECHM,Tech Mahindra Limited
NSE/TCIDEVELOP,TCI Developers Limited
NSE/TORNTPOWER,Torrent Power Limited
NSE/TRF,TRF Limited
NSE/TRIDENT,Trident Limited
NSE/UVSL,Uttam Value Steels Limited
NSE/VIVIDHA,Visagar Polytex Limited
NSE/WELCORP,Welspun Corp Limited
NSE/WINSOME,Winsome Yarns Limited
NSE/WHEELS,Wheels India Limited
NSE/ESSARPORTS,Essar Ports Limited
NSE/AMARJOTHI,Amarjothi Spinning Mills Limited
NSE/IZMO,IZMO Limited
NSE/PANCARBON,Panasonic Carbon India Company Limited
NSE/HALONIX,Halonix Limited
NSE/KDDL,KDDL Limited
NSE/SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited
NSE/SUPERHOUSE,Superhouse Limited
NSE/AFTEK,Aftek Limited
NSE/BRANDHOUSE,Brandhouse Retails Limited
NSE/SHLAKSHMI,Shri Lakshmi Cotsyn Limited
NSE/SETFNIFJR,SBIAMC - SETFNIFJR
NSE/SETFNIFTY,SBIAMC - SETFNIFTY
NSE/SIMBHSUGAR,Simbhaoli Sugars Limited
NSE/KIRLOSIND,Kirloskar Industries Limited
NSE/MALUPAPER,Malu Paper Mills Limited
NSE/MINDTREE,MindTree Limited
NSE/MPSLTD,MPS Limited
NSE/NOCIL,NOCIL Limited
NSE/PARAGMILK,Parag Milk Foods Limited
NSE/RDEL,Reliance Defence and Engineering Limited
NSE/STERTOOLS,Sterling Tools Limited
NSE/TARAPUR,Tarapur Transformers Limited
NSE/ICSA,ICSA (India) Limited
NSE/SBBJ,State Bank of Bikaner and Jaipur
NSE/SURANATP,Surana Telecom and Power Limited
NSE/EUROTEXIND,Eurotex Industries and Exports Limited
NSE/KEYCORPSER,Keynote Corporate Services Limited
NSE/METALFORGE,Metalyst Forgings Limited
NSE/PINCON,Pincon Spirit Limited
NSE/ROHITFERRO,Rohit Ferro-Tech Limited
NSE/SMLISUZU,SML Isuzu Limited
NSE/STAMPEDE,Stampede Capital Limited
NSE/THEBYKE,The Byke Hospitality Limited
NSE/ONWARDTEC,Onward Technologies Limited
NSE/NANDANEXIM,Nandan Exim Limited
NSE/SRICHAMUND,Sri Chamundeswari Sugars Limited
NSE/FTCSF5YDIV,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y Dividend Option
NSE/TEXMACOLTD,Texmaco Limited
NSE/IBSEC,Indiabulls Securities Limited
NSE/IVRCLAH,IVRCL Assets & Holdings Limited
NSE/FTCSF5YGRO,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option)
NSE/SATIN,Satin Creditcare Network Limited
NSE/ANIKINDS,Anik Industries Limited
NSE/ASIL,Amit Spinning Industries Limited
NSE/GANGOTRI,Gangotri Textiles Limited
NSE/CUBEXTUB,Cubex Tubings Limited
NSE/GEINDSYS,GEI Industrial Systems Limited
NSE/XLENERGY,XL Energy Limited
NSE/NET4,Net 4 India Limited
NSE/PARASPETRO,Paras Petrofils Limited
NSE/DPTL,Dhunseri Petrochem & Tea Limited
NSE/ALPA,Alpa Laboratories Limited
NSE/BIRLAERIC,Birla Ericsson Optical Limited
NSE/INDOWIND,Indowind Energy Limited
NSE/ZENITHBIR,Zenith Birla (India) Limited
NSE/SPECTACLE,Spectacle Ventures Limited
NSE/THOMASCOTT,Thomas Scott (India) Limited
NSE/ADLABS,Adlabs Entertainment Limited
NSE/IDFCBANK,IDFC Bank Limited
NSE/IMPAL,India Motor Parts and Accessories Limited
NSE/MLL,Mercator Lines Limited
NSE/MMWL,Media Matrix Worldwide Limited
NSE/GULFCORP,Gulf Oil Corporation Limited
NSE/MANJEERA,Manjeera Constructions Limited
NSE/VIPUL,Vipul Limited
NSE/BECREL,Best & Crompton Engg. Limited
NSE/CNXSMALLCAP,National Stock Exchange of India Stock Index - CNX SMALLCAP
NSE/PALREDTECH,Palred Technologies Limited
NSE/NIFTY_ALPHA_50,National Stock Exchange of India (NSE) Stock Index - Nifty Alpha 50
NSE/NIFTY_BANK,National Stock Exchange of India (NSE) Stock Index - Nifty Bank
NSE/NIFTY_FIN_SERVICE,National Stock Exchange of India (NSE) Stock Index - Nifty Financial Services
NSE/NIFTY_COMMODITIES,National Stock Exchange of India (NSE) Stock Index - Nifty Commodities
NSE/NEOCURE,Neocure Therapeutics Limited
NSE/SIGNETIND,Signet Industries Limited
NSE/CNXMETAL,National Stock Exchange of India Stock Index - CNX METAL
NSE/NIFTY_IT,National Stock Exchange of India (NSE) Stock Index - Nifty IT
NSE/CNX_500_SHARIAH,National Stock Exchange of India (NSE) Stock Index - CNX 500 Shariah
NSE/SAMBANDAM,Sambandam Spinning Mills Limited
NSE/SAVERA,Savera Industries Limited
NSE/PILANIINV,Pilani Investment and Industries Corporation Limited
NSE/IPRINGLTD,IP Rings Limited
NSE/RAJPALAYAM,Rajapalayam Mills Limited
NSE/DALMIAREF,Dalmia Refractories Limited
NSE/RMMIL,Resurgere Mines & Minerals Limited
NSE/NIFTY_PHARMA,National Stock Exchange of India (NSE) Stock Index - Nifty Pharma
NSE/MUDRA,Mudra Lifestyle Limited
NSE/FRETAIL,Future Retail Limited
NSE/NIFTY50_DIV_POINT,National Stock Exchange of India (NSE) Stock Index - Nifty50 Dividend Points
NSE/ALPINEHOU,Alpine Housing Development Corporation Limited
NSE/NGCT,Northgate Com Tech Limited
NSE/RRSLGETF,RELCAPAMC - RRSLGETF
NSE/ARVINDREM,Arvind Remedies Limited
NSE/GUJSTATFIN,Gujarat State Financial Corporation
NSE/DIGJAMLTD,Digjam Limited
NSE/CUPID,Cupid Limited
NSE/EBANK,Edelweiss ETF - Nifty Bank
NSE/GOKULAGRO,Gokul Agro Resources Limited
NSE/HDFCNIFETF,HDFCAMC - HDFCNIFETF
NSE/INGVYSYABK,ING Vysya Bank Limited
NSE/SOLARINDS,Solar Industries India Limited
NSE/TVVISION,TV Vision Limited
NSE/IIFLNIFTY,IIFL Mutual Fund - Nifty ETF
NSE/SKUMARSYNF,S. Kumars Nationwide Limited
NSE/PRITHVI,Prithvi Information Solutions Limited
NSE/SHIV_VANI,Shiv-Vani Oil & Gas Exploration Services Limited
NSE/RELGRNIFTY,Religare Invesco Nifty Exchange Traded Fund
NSE/TECPRO,Tecpro Systems Limited
NSE/RANBAXY,Ranbaxy Laboratories Limited
NSE/MGOLD,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Gold ETF
NSE/VAKRANSOFT,Vakrangee Softwares Limited
NSE/SPANCO,Spanco Limited
NSE/SPCNXNIFTYSHARIAH,National Stock Exchange of India Stock Index - S&P CNX NIFTY SHARIAH
NSE/MUNDRAPORT,Mundra Port and Special Economic Zone Limited
NSE/MBSWITCH,M AND B Switchgears Limited
NSE/FTCPOF5YGR,Franklin Templeton Capital Protection Oriented Fund
NSE/CNXREALTY,National Stock Exchange of India Stock Index - CNX REALTY
NSE/NEHAINT,Neha International Limited
NSE/VAIBHAVGEM,Vaibhav Gems Limited
NSE/THINKSOFT,Thinksoft Global Services Limited
NSE/SPCNX500,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/NIFTYMIDCAP50,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50
NSE/VIKASHMET,Vikash Metal & Power Limited
NSE/MMFSL,Money Matters Financial Services Limited
NSE/BOC,BOC India Limited
NSE/INFOTECENT,Infotech Enterprises Limited
NSE/INDIABULLS,Indiabulls Financial Services Limited
NSE/FKONCO,Fresenius Kabi Oncology Limited
NSE/ASHCONIUL,Ashco Niulab Industries Limited
NSE/COROENGG,Coromandel Engineering Company Limited
NSE/LAKSHMIMIL,The Lakshmi Mills Company Limited
NSE/SPCNX,National Stock Exchange of India Stock Index - S&P CNX 500
NSE/MORARJETEX,Morarjee Textiles Limited
NSE/CNXPSUBANK,National Stock Exchange of India Stock Index - CNX PSU BANK
NSE/NATHSEED,Nath Seeds  Limited
NSE/CNXMIDCAP,National Stock Exchange of India Stock Index - CNX MIDCAP
NSE/BODHTREE,Bodhtree Consulting Limited
NSE/EDSERV,Edserv Softsystems Limited
NSE/CORAL_HUB,Coral Hub Limited
NSE/VISHALRET,Vishal Retail Limited
NSE/SENTINEL,Sentinel Tea and Exports Limited
NSE/ANKURDRUGS,Ankur Drugs And Pharma Limited
NSE/AANJANEYA,Aanjaneya Lifecare Limited
NSE/BHAGWATIHO,Bhagwati Banquets and Hotels Limited
NSE/CNXAUTO,National Stock Exchange of India Stock Index - CNX AUTO
NSE/AMLSTEEL,AML Steel Limited
NSE/RAINCOM,Rain Commodities  Limited
NSE/PONDYOXIDE,Pondy Oxides & Chemicals Limited
NSE/KSE,KSE Limited
NSE/KINETICMOT,Kinetic Motor Company Limited
NSE/FIRSTLEASE,First Leasing Company of India Limited
NSE/KLGSYSTEL,KLG Systel Limited
NSE/SURAJDIAMN,Su-Raj Diamonds and Jewellery Limited
NSE/SESAGOA,Sesa Goa Limited
NSE/BIRLAPOWER,Birla Power Solutions Limited
NSE/JSWISPAT,JSW ISPAT Steel Limited
NSE/NOVOPANIND,Novopan Industries Limited
NSE/SUJANATOW,Sujana Tower Limited
NSE/TELEDATAIT,Teledata Technology Solutions Limited
NSE/CREWBOS,Crew B.O.S. Products Limited
NSE/MADRASCEM,Madras Cements Limited
NSE/CHEMPLAST,Chemplast Sanmar Limited
NSE/CNXDIVIDENDOPPT,National Stock Exchange of India Stock Index - CNX DIVIDEND OPPT
NSE/CNXPSE,National Stock Exchange of India Stock Index - CNX PSE
NSE/NIFTYDIVIDEND,National Stock Exchange of India Stock Index - NIFTY DIVIDEND
NSE/CNX100,National Stock Exchange of India Stock Index - CNX 100
NSE/DCHL,Deccan Chronicle Holdings Limited
NSE/SARTHAKIND,Sarthak Industries Limited
NSE/OSWALMIN,Oswal Minerals Limited
NSE/TANFACIND,Tanfac Industries Limited
NSE/APPAPER,The Andhra Pradesh Paper Mills Limited
NSE/PANTALOONR,Pantaloon Retail (India) Limited
NSE/CNX_ALPHA_INDEX,National Stock Exchange of India (NSE) Stock Index - CNX Alpha
NSE/CNXCONSUMPTION,National Stock Exchange of India Stock Index - CNX CONSUMPTION
NSE/JDORGOCHEM,JD Orgochem Limited
NSE/CNXPHARMA,National Stock Exchange of India Stock Index - CNX PHARMA
NSE/CNXINFRA,National Stock Exchange of India Stock Index - CNX INFRA
NSE/SMOBILITY,S Mobility Limited
NSE/CNXFMCG,National Stock Exchange of India Stock Index - CNX FMCG
NSE/TAKSHEEL,Taksheel Solutions Limited
NSE/CHETTINAD,Chettinad Cement Corporation Limited
NSE/GRABALALK,Grabal Alok Impex Limited
NSE/SHRINATRAJ,Shri Nataraj Ceramic and Chemical Industries Limited
NSE/NUCHEM,Nuchem Limited
NSE/TULIP,Tulip Telecom Limited
NSE/SPCNXDEFTY,National Stock Exchange of India Stock Index - S&P CNX DEFTY
NSE/RANKLIN,Ranklin Solutions Limited
NSE/NRC,NRC Limited
NSE/A2ZMES,A2Z Maintenance & Engineering Services Limited
NSE/APLAB,Aplab Limited
NSE/HYDROSS,Hydro S & S Industries Limited
NSE/CNX200,National Stock Exchange of India Stock Index - CNX 200
NSE/UTISUNDER,Nifty
NSE/SPCNX500SHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/AVANTI,Avanti Feeds Limited
NSE/CNXHIGHBETA,National Stock Exchange of India Stock Index - CNX HIGH BETA
NSE/CASTROL,Castrol India Limited
NSE/VTMLTD,VTM Limited
NSE/MAHINDUGIN,Mahindra Ugine Steel Company Limited
NSE/CNXALPHAINDEX,National Stock Exchange of India Stock Index - CNX ALPHA INDEX
NSE/POLARIND,Polar Industries Limited
NSE/JEYPORE,The Jeypore Sugar Company Limited
NSE/INFODRIVE,Info-Drive Software Limited
NSE/CNXLOWVOLATILITY,National Stock Exchange of India Stock Index - CNX LOW VOLATILITY
NSE/RBN,Reliance Broadcast Network Limited
NSE/NUCENT,Nucent Finance Limited
NSE/PRITHVISOF,Prithvi Softech Limited
NSE/PEACOCKIND,Peacock Industries Limited
NSE/JINDALSWHL,Jindal South West Holdings Limited
NSE/CNXMIDCAP200,National Stock Exchange of India Stock Index - CNX MIDCAP 200
NSE/CNXSERVICE,National Stock Exchange of India Stock Index - CNX SERVICE
NSE/LLOYDSTEEL,Lloyds Steel Industries Limited
NSE/LAKSHMIFIN,The Lakshmi Finance & Industrial Corporation Limited
NSE/CRESTANI,Crest Animation Studios Limited
NSE/CNXNIFTYJUNIOR,National Stock Exchange of India Stock Index - CNX NIFTY JUNIOR
NSE/IBIPL,Indiabulls Infrastructure and Power Limited
NSE/IBPOW,Indiabulls Power Limited
NSE/AQUA,Aqua Logistics Limited
NSE/CNXCOMMODITIES,National Stock Exchange of India Stock Index - CNX COMMODITIES
NSE/CNXMNC,National Stock Exchange of India Stock Index - CNX MNC
NSE/TTKHEALTH,TTK Healthcare Limited
NSE/SURANAVEL,Surana Ventures Limited
NSE/GUJSIDHCEM,Gujarat Sidhee Cements Limited
NSE/SUPER,Super Sales India Limited
NSE/SPCNXSHARIAH,National Stock Exchange of India Stock Index - S&P CNX 500 SHARIAH
NSE/CNXIT,National Stock Exchange of India Stock Index - CNX IT
NSE/SPESGINDIAINDEX,National Stock Exchange of India Stock Index - S&P ESG INDIA INDEX
NSE/CNX,National Stock Exchange of India Stock Index - CNX 200
NSE/CNXBANK,National Stock Exchange of India Stock Index - CNX BANK
NSE/SOUISPAT,Southern Ispat And Energy Limited
NSE/KANDAGIRI,Kandagiri Spinning Mills Limited
NSE/PANASONIC,Panasonic Appliances India Company Limited
NSE/MARG,Marg Limited
NSE/CNX_FMCG,National Stock Exchange of India (NSE) Stock Index - CNX FMCG
NSE/TWILITAKA,Twilight Litaka Pharma Limited
NSE/LOGIXMICRO,Logix Microsystems Limited
NSE/KBIL,Kirloskar Brothers Investments Limited
NSE/NIFTY_METAL,National Stock Exchange of India (NSE) Stock Index - Nifty Metal
NSE/COMPUAGE,Compuage Infocom Limited
NSE/SABERORGAN,Sabero Organics Gujarat Limited
NSE/CNX_HIGH_BETA,National Stock Exchange of India (NSE) Stock Index - CNX High Beta
NSE/NIFTY_HIGH_BETA_50,National Stock Exchange of India (NSE) Stock Index - Nifty High Beta 50
NSE/CNX_SHARIAH25,National Stock Exchange of India (NSE) Stock Index - CNX Shariah25
NSE/NIFTY_50,National Stock Exchange of India (NSE) Stock Index - Nifty 50
NSE/CNX_REALTY,National Stock Exchange of India (NSE) Stock Index - CNX Realty
NSE/NIFTY_CPSE,National Stock Exchange of India (NSE) Stock Index - Nifty CPSE
NSE/CNX_SERVICE,National Stock Exchange of India (NSE) Stock Index - CNX Service Sector
NSE/NI15,National Stock Exchange of India (NSE) Stock Index - NI15
NSE/MUKTAARTS,Mukta Arts Limited
NSE/KEMROCK,Kemrock Industries and Exports Limited
NSE/WINSOMEDJ,Winsome Diamonds and Jewellery Limited
NSE/AIFL,Ashapura Intimates Fashion Limited
NSE/ALKEM,Alkem Laboratories Limited
NSE/ANGIND,ANG Industries Limited
NSE/APARINDS,Apar Industries Limited
NSE/AROGRANITE,Aro Granite Industries Limited
NSE/AUTOIND,Autoline Industries Limited
NSE/BAFNAPHARM,Bafna Pharmaceuticals Limited
NSE/BBTC,Bombay Burmah Trading Corporation Limited
NSE/BLKASHYAP,B. L. Kashyap and Sons Limited
NSE/BPL,BPL Limited
NSE/CAPLIPOINT,Caplin Point Laboratories Limited
NSE/CCCL,Consolidated Construction Consortium Limited
NSE/CEBBCO,Commercial Engineers & Body Builders Co Limited
NSE/CESC,CESC Limited
NSE/CHEMFALKAL,Chemfab Alkalis Limited
NSE/CINELINE,Cineline India Limited
NSE/CPSEETF,Goldman Sachs Mutual Fund - CPSE ETF - Growth Option
NSE/CROMPTON,Crompton Greaves Consumer Electricals Limited
NSE/DAAWAT,LT Foods Limited
NSE/DELTAMAGNT,Delta Magnets Limited
NSE/DEN,Den Networks Limited
NSE/DHUNINV,Dhunseri Investments Limited
NSE/DPSCLTD,DPSC Limited
NSE/DYNAMATECH,Dynamatic Technologies Limited
NSE/EMAMIINFRA,Emami Infrastructure Limited
NSE/EMKAY,Emkay Global Financial Services Limited
NSE/ESSELPACK,Essel Propack Limited
NSE/FEL,FUTURE ENTERPRISES LIMITED
NSE/FAGBEARING,FAG Bearings India Limited
NSE/FINPIPE,Finolex Industries Limited
NSE/GANECOS,Ganesha Ecosphere Limited
NSE/GAMMONIND,Gammon India Limited
NSE/GLENMARK,Glenmark Pharmaceuticals Limited
NSE/GOACARBON,Goa Carbon Limited
NSE/GLOBOFFS,Global Offshore Services Limited
NSE/GOLDSHARE,UTI Mutual Fund - UTI Gold Exchange Traded Fund
NSE/GREENLAM,Greenlam Industries Limited
NSE/GUJNRECOKE,Gujarat NRE Coke Limited
NSE/HARRMALAYA,Harrisons Malayalam Limited
NSE/GULPOLY,Gulshan Polyols Limited
NSE/GULFPETRO,GP Petroleums Limited
NSE/HEXATRADEX,Hexa Tradex Limited
NSE/HESTERBIO,Hester Biosciences Limited
NSE/HONDAPOWER,Honda Siel Power Products Limited
NSE/IGL,Indraprastha Gas Limited
NSE/INDOTECH,Indo Tech Transformers Limited
NSE/JINDRILL,Jindal Drilling And Industries Limited
NSE/KANANIIND,Kanani Industries Limited
NSE/KHAITANELE,Khaitan Electricals Limited
NSE/KOTHARIPRO,Kothari Products Limited
NSE/KPRMILL,K.P.R. Mill Limited
NSE/KTKBANK,The Karnataka Bank Limited
NSE/MAJESCO,Majesco Limited
NSE/MARATHON,Marathon Nextgen Realty Limited
NSE/MBLINFRA,MBL Infrastructures Limited
NSE/MCDOWELL_N,United Spirits Limited
NSE/METKORE,Metkore Alloys & Industries Limited
NSE/MINDAIND,Minda Industries Limited
NSE/MIRCELECTR,MIRC Electronics Limited
NSE/MOLDTKPAC,Mold-Tek Packaging Limited
NSE/MOHITIND,Mohit Industries Limited
NSE/MUTHOOTFIN,Muthoot Finance Limited
NSE/NDGL,Naga Dhunseri Group Limited
NSE/NATHBIOGEN,Nath Bio-Genes (India) Limited
NSE/NEXTMEDIA,Next Mediaworks Limited
NSE/NTPC,NTPC Limited
NSE/ORIENTHOT,Oriental Hotels Limited
NSE/PENIND,Pennar Industries Limited
NSE/PHOENIXLTD,The Phoenix Mills Limited
NSE/PIDILITIND,Pidilite Industries Limited
NSE/PIONEEREMB,Pioneer Embroideries Limited
NSE/PRAENG,Prajay Engineers Syndicate Limited
NSE/PRIMESECU,Prime Securities Limited
NSE/RAMANEWS,Shree Rama Newsprint Limited
NSE/RBLBANK,RBL Bank Limited
NSE/RELCONS,Reliance MF - R*Shares Consumption Fund - R* SHARES CONSUMPTION FUND
NSE/RELDIVOPP,Reliance MF - R*Shares Dividend Opportunities Fund - RSDOETF
NSE/REPCOHOME,Repco Home Finance Limited
NSE/RUPA,Rupa & Company Limited
NSE/SETFNN50,SBI-ETF Nifty Next 50
NSE/SETCO,Setco Automotive Limited
NSE/SHK,S H Kelkar and Company Limited
NSE/SHREYANIND,Shreyans Industries Limited
NSE/SHRENUJ,Shrenuj & Company Limited
NSE/SREINFRA,SREI Infrastructure Finance Limited
NSE/SUNDARAM,Sundaram Multi Pap Limited
NSE/TECHNOFAB,Technofab Engineering Limited
NSE/TFCILTD,Tourism Finance Corporation of India Limited
NSE/UJAAS,Ujaas Energy Limited
NSE/VASCONEQ,Vascon Engineers Limited
NSE/VIMALOIL,Vimal Oil & Foods Limited
NSE/WELENT,Welspun Enterprises Limited
NSE/WELINV,Welspun Investments and Commercials Limited
NSE/ZYLOG,Zylog Systems Limited
NSE/DYNATECH,Dynacons Technologies Limited
NSE/GIPCL,Gujarat Industries Power Company Limited
NSE/GOLDIAM,Goldiam International Limited
NSE/GRPLTD,GRP Limited
NSE/GRINDWELL,Grindwell Norton Limited
NSE/HEIDELBERG,HeidelbergCement India Limited
NSE/HSCL,Himadri Speciality Chemical Limited
NSE/INDOCO,Indoco Remedies Limited
NSE/INFY,Infosys Limited
NSE/INTEGRA,Integra Garments and Textiles Limited
NSE/JSWHL,JSW Holdings Limited
NSE/JPPOWER,Jaiprakash Power Ventures Limited
NSE/KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
NSE/LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO
NSE/KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF
NSE/KSL,Kalyani Steels Limited
NSE/LPDC,Landmark Property Development Company Limited
NSE/LUXIND,Lux Industries Limited
NSE/MERCATOR,Mercator Limited
NSE/MFSL,Max Financial Services Limited
NSE/MRO_TEK,MRO-TEK Limited
NSE/NIITLTD,NIIT Limited
NSE/NUTEK,Nu Tek India Limited
NSE/ONMOBILE,OnMobile Global Limited
NSE/ONELIFECAP,Onelife Capital Advisors Limited
NSE/ORIENTALTL,Oriental Trimex Limited
NSE/PANAMAPET,Panama Petrochem Limited
NSE/PENPEBS,Pennar Engineered Building Systems Limited
NSE/PRESSMN,Pressman Advertising Limited
NSE/QUESS,Quess Corp Limited
NSE/RAIREKMOH,Raisaheb Reckhchand Mohota Spinning & Weaving Mills Limited
NSE/SCHNEIDER,Schneider Electric Infrastructure Limited
NSE/SELMCL,SEL Manufacturing Company Limited
NSE/SETFNIFBK,SBI-ETF Nifty Bank
NSE/SHIVTEX,Shiva Texyarn Limited
NSE/SITINET,Siti Networks Limited
NSE/SOMATEX,Soma Textiles & Industries Limited
NSE/SKIPPER,Skipper Limited
NSE/SPLIL,SPL Industries Limited
NSE/TEXMOPIPES,Texmo Pipes and Products Limited
NSE/TIRUMALCHM,Thirumalai Chemicals Limited
NSE/TVSMOTOR,TVS Motor Company Limited
NSE/UGARSUGAR,The Ugar Sugar Works Limited
NSE/UNITEDBNK,United Bank of India
NSE/VIVIMEDLAB,Vivimed Labs Limited
NSE/VTL,Vardhman Textiles Limited
NSE/WILLAMAGOR,Williamson Magor & Company Limited
NSE/WONDERLA,Wonderla Holidays Limited
NSE/AKSHOPTFBR,Aksh Optifibre Limited
NSE/ACE,Action Construction Equipment Limited
NSE/ADHUNIKIND,Adhunik Industries Limited
NSE/ALLSEC,Allsec Technologies Limited
NSE/AMBIKCO,Ambika Cotton Mills Limited
NSE/APLLTD,Alembic Pharmaceuticals Limited
NSE/ARCOTECH,Arcotech Limited
NSE/ARIHANT,Arihant Foundations & Housing Limited
NSE/ARIES,Aries Agro Limited
NSE/BALRAMCHIN,Balrampur Chini Mills Limited
NSE/BIOCON,Biocon Limited
NSE/CONCOR,Container Corporation of India Limited
NSE/DAMODARIND,Damodar Industries Limited
NSE/DATAMATICS,Datamatics Global Services Limited
NSE/EMAMILTD,Emami Limited
NSE/FACT,Fertilizers and Chemicals Travancore Limited
NSE/FLFL,Future Lifestyle Fashions Limited
NSE/GETD,GE T&D India Limited
NSE/ABGSHIP,ABG Shipyard Limited
NSE/8KMILES,8K Miles Software Services Limited
NSE/ADSL,Allied Digital Services Limited
NSE/ADANIENT,Adani Enterprises Limited
NSE/ADFFOODS,ADF Foods Limited
NSE/ADHUNIK,Adhunik Metaliks Limited
NSE/AFL,Accel Frontline Limited
NSE/ADI,Adi Finechem Limited
NSE/ALANKIT,Alankit Limited
NSE/ALICON,Alicon Castalloy Limited
NSE/ALKYLAMINE,Alkyl Amines Chemicals Limited
NSE/ALPHAGEO,Alphageo (India) Limited
NSE/ARROWTEX,Arrow Textiles Limited
NSE/AUSOMENT,Ausom Enterprise Limited
NSE/ANSALHSG,Ansal Housing and Construction Limited
NSE/ASHIMASYN,Ashima Limited
NSE/AYMSYNTEX,AYM Syntex Limited
NSE/APCOTEXIND,Apcotex Industries Limited
